IPM,Habitat,log_size_bin,iteration,n_plants,prop_plants
Deterministic,CF,pre-reproductive1,31,42.53533596027886,0.05014203108878657
Deterministic,CF,pre-reproductive1,32,42.1086019145467,0.05015590282286143
Deterministic,CF,pre-reproductive1,33,41.68485473698832,0.05016761645860914
Deterministic,CF,pre-reproductive1,34,41.26418168672448,0.05017742446737935
Deterministic,CF,pre-reproductive1,35,40.84669054662987,0.05018557699914762
Deterministic,CF,pre-reproductive1,36,40.43249315937555,0.05019231007486356
Deterministic,CF,pre-reproductive1,37,40.02169543801637,0.050197839137919635
Deterministic,CF,pre-reproductive1,38,39.61439176988228,0.05020235618641549
Deterministic,CF,pre-reproductive1,39,39.21066233741636,0.05020602922466939
Deterministic,CF,pre-reproductive1,40,38.81057231941686,0.050209003150310336
Deterministic,CF,pre-reproductive1,41,38.41417225398335,0.05021140146760455
Deterministic,CF,pre-reproductive1,42,38.02149907254293,0.0502133284151632
Deterministic,CF,pre-reproductive1,43,37.632577476644805,0.05021487123698828
Deterministic,CF,pre-reproductive1,44,37.247421443597986,0.0502161024250594
Deterministic,CF,pre-reproductive1,45,36.86603572669348,0.05021708183063313
Deterministic,CF,pre-reproductive1,46,36.48841727043987,0.05021785858851556
Deterministic,CF,pre-reproductive1,47,36.114556498097485,0.0502184728299827
Deterministic,CF,pre-reproductive1,48,35.74443845304345,0.05021895718032646
Deterministic,CF,pre-reproductive1,49,35.378043790927755,0.05021933804953293
Deterministic,CF,pre-reproductive1,50,35.0153496289241,0.050219636731771995
Deterministic,CF,pre-reproductive1,51,34.656330263594995,0.050219870332933736
Deterministic,CF,pre-reproductive1,52,34.30095777136731,0.050220052546628854
Deterministic,CF,pre-reproductive1,53,33.94920250632755,0.0502201942987501
Deterministic,CF,pre-reproductive1,54,33.601033509670316,0.05022030427947519
Deterministic,CF,pre-reproductive1,55,33.25641884413131,0.050220389379894564
Deterministic,CF,pre-reproductive1,56,32.91532586541515,0.0502204550485432
Deterministic,CF,pre-reproductive1,57,32.57772144118962,0.05022050558118351
Deterministic,CF,pre-reproductive1,58,32.243572126787576,0.05022054435533466
