run,ipm,lambda,ipm_type,habitat
178,lag_cf,1.012,lag,cf
179,lag_cf,1.005,lag,cf
180,lag_cf,0.992,lag,cf
181,lag_cf,0.987,lag,cf
182,lag_cf,1.012,lag,cf
183,lag_cf,0.991,lag,cf
184,lag_cf,0.965,lag,cf
185,lag_cf,1.002,lag,cf
186,lag_cf,0.987,lag,cf
187,lag_cf,0.998,lag,cf
188,lag_cf,0.972,lag,cf
189,lag_cf,0.973,lag,cf
190,lag_cf,0.964,lag,cf
191,lag_cf,0.965,lag,cf
192,lag_cf,0.988,lag,cf
193,lag_cf,0.963,lag,cf
194,lag_cf,0.984,lag,cf
195,lag_cf,0.981,lag,cf
196,lag_cf,0.973,lag,cf
197,lag_cf,0.966,lag,cf
198,lag_cf,0.981,lag,cf
199,lag_cf,0.993,lag,cf
200,lag_cf,0.993,lag,cf
201,lag_cf,0.975,lag,cf
202,lag_cf,0.971,lag,cf
203,lag_cf,1.02,lag,cf
204,lag_cf,0.995,lag,cf
205,lag_cf,0.988,lag,cf
206,lag_cf,0.985,lag,cf
207,lag_cf,0.961,lag,cf
208,lag_cf,0.986,lag,cf
209,lag_cf,0.961,lag,cf
210,lag_cf,0.993,lag,cf
211,lag_cf,0.987,lag,cf
212,lag_cf,1.012,lag,cf
213,lag_cf,0.979,lag,cf
214,lag_cf,1.019,lag,cf
215,lag_cf,0.978,lag,cf
216,lag_cf,0.974,lag,cf
217,lag_cf,1.004,lag,cf
218,lag_cf,0.971,lag,cf
219,lag_cf,0.983,lag,cf
220,lag_cf,0.971,lag,cf
221,lag_cf,0.981,lag,cf
222,lag_cf,0.99,lag,cf
223,lag_cf,0.989,lag,cf
224,lag_cf,0.981,lag,cf
225,lag_cf,0.977,lag,cf
226,lag_cf,0.964,lag,cf
227,lag_cf,0.988,lag,cf
228,lag_cf,0.967,lag,cf
229,lag_cf,0.954,lag,cf
230,lag_cf,0.977,lag,cf
231,lag_cf,0.973,lag,cf
232,lag_cf,0.969,lag,cf
233,lag_cf,0.953,lag,cf
234,lag_cf,0.961,lag,cf
235,lag_cf,0.963,lag,cf
236,lag_cf,0.98,lag,cf
237,lag_cf,0.979,lag,cf
238,lag_cf,0.98,lag,cf
239,lag_cf,0.991,lag,cf
240,lag_cf,1,lag,cf
241,lag_cf,0.962,lag,cf
242,lag_cf,0.972,lag,cf
243,lag_cf,0.955,lag,cf
244,lag_cf,0.981,lag,cf
245,lag_cf,0.988,lag,cf
246,lag_cf,0.987,lag,cf
247,lag_cf,0.993,lag,cf
248,lag_cf,0.965,lag,cf
249,lag_cf,0.954,lag,cf
250,lag_cf,0.996,lag,cf
251,lag_cf,0.973,lag,cf
252,lag_cf,1.014,lag,cf
253,lag_cf,0.993,lag,cf
254,lag_cf,0.996,lag,cf
255,lag_cf,0.97,lag,cf
256,lag_cf,1.006,lag,cf
257,lag_cf,1.009,lag,cf
258,lag_cf,0.988,lag,cf
259,lag_cf,0.994,lag,cf
260,lag_cf,0.955,lag,cf
261,lag_cf,0.963,lag,cf
262,lag_cf,1.002,lag,cf
263,lag_cf,0.974,lag,cf
264,lag_cf,1,lag,cf
265,lag_cf,0.977,lag,cf
266,lag_cf,1.013,lag,cf
267,lag_cf,0.988,lag,cf
268,lag_cf,1.015,lag,cf
269,lag_cf,1.027,lag,cf
270,lag_cf,0.997,lag,cf
271,lag_cf,0.961,lag,cf
272,lag_cf,0.978,lag,cf
273,lag_cf,1.014,lag,cf
274,lag_cf,1.007,lag,cf
275,lag_cf,1.013,lag,cf
276,lag_cf,1.008,lag,cf
277,lag_cf,1.02,lag,cf
278,lag_cf,1.048,lag,cf
279,lag_cf,1.019,lag,cf
280,lag_cf,1.035,lag,cf
281,lag_cf,0.959,lag,cf
282,lag_cf,1.015,lag,cf
283,lag_cf,1.016,lag,cf
284,lag_cf,0.962,lag,cf
285,lag_cf,0.969,lag,cf
286,lag_cf,0.988,lag,cf
287,lag_cf,0.972,lag,cf
288,lag_cf,0.975,lag,cf
289,lag_cf,0.982,lag,cf
290,lag_cf,0.982,lag,cf
291,lag_cf,0.982,lag,cf
292,lag_cf,0.978,lag,cf
293,lag_cf,0.966,lag,cf
