date,lat,lon,precip,eto
1980-01-30,-2.375,-59.625,0.74658203125,2.6074087619781494
1980-01-31,-2.375,-60.125,0,3.1307339668273926
1980-01-31,-2.375,-59.875,0,3.0798442363739014
1980-01-31,-2.375,-59.625,0,3.0080292224884033
1980-02-01,-2.375,-60.125,5.8046875,2.2158849239349365
1980-02-01,-2.375,-59.875,6.4609375,2.214966058731079
1980-02-01,-2.375,-59.625,6.2734375,2.214977502822876
1980-02-02,-2.375,-60.125,30.59375,2.858588695526123
1980-02-02,-2.375,-59.875,32.5,2.861476421356201
1980-02-02,-2.375,-59.625,29.34375,2.872910737991333
1980-02-03,-2.375,-60.125,17.890625,2.252896308898926
1980-02-03,-2.375,-59.875,20.671875,2.265916109085083
1980-02-03,-2.375,-59.625,21.984375,2.286090612411499
1980-02-04,-2.375,-60.125,8.2890625,2.457878828048706
1980-02-04,-2.375,-59.875,6.89453125,2.441598892211914
1980-02-04,-2.375,-59.625,6.15625,2.4300715923309326
1980-02-05,-2.375,-60.125,21.890625,4.970773220062256
1980-02-05,-2.375,-59.875,18.0625,4.96173620223999
1980-02-05,-2.375,-59.625,16.578125,4.945260524749756
1980-02-06,-2.375,-60.125,0.021820068359375,5.454110622406006
1980-02-06,-2.375,-59.875,0.041900634765625,5.414318561553955
1980-02-06,-2.375,-59.625,0.388671875,5.353790760040283
1980-02-07,-2.375,-60.125,0,5.9897990226745605
1980-02-07,-2.375,-59.875,0,5.921266078948975
1980-02-07,-2.375,-59.625,0,5.817971706390381
1980-02-08,-2.375,-60.125,0,4.3876118659973145
1980-02-08,-2.375,-59.875,0,4.564188003540039
1980-02-08,-2.375,-59.625,0,4.688294410705566
1980-02-09,-2.375,-60.125,0,4.590571880340576
1980-02-09,-2.375,-59.875,0,4.540436744689941
1980-02-09,-2.375,-59.625,0,4.464663505554199
1980-02-10,-2.375,-60.125,0,3.729564666748047
1980-02-10,-2.375,-59.875,0,3.6934142112731934
1980-02-10,-2.375,-59.625,0,3.6505563259124756
