Plant_No,No_of_seeds,Date_Collected
280,3,11-Mar-2008
287,1,11-Mar-2008
287,3,11-Mar-2008
287,3,11-Mar-2008
291,1,11-Mar-2008
292,1,11-Mar-2008
293,3,11-Mar-2008
294,2,11-Mar-2008
295,2,11-Mar-2008
295,2,11-Mar-2008
295,1,11-Mar-2008
295,2,11-Mar-2008
295,2,11-Mar-2008
295,3,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
